ScenarioID,SimIndex,LookIndex,Status,BdryStopCode,RDGUserErrorCode,TestStat,ErrorCode,TrueHR
1,167,1,SUCCESS,0,0,-1.32934120822391,0,0.781873370759262
1,168,1,SUCCESS,1,0,-4.99956413185743,0,0.738505453753978
1,169,1,SUCCESS,1,0,-1.99001518477764,0,0.819664039217837
1,170,1,SUCCESS,0,0,-0.960573856065717,0,0.819621264075014
1,171,1,SUCCESS,1,0,-3.45315614836742,0,0.707392722860946
1,172,1,SUCCESS,1,0,-5.03704828360439,0,0.736244997577496
1,173,1,SUCCESS,0,0,0.99113940112892,0,0.918054793580006
1,174,1,SUCCESS,0,0,-0.778029565817933,0,0.801103271001883
1,175,1,SUCCESS,0,0,-0.375746027547638,0,0.817186706716453
1,176,1,SUCCESS,0,0,-1.09839168658143,0,0.75527123127448
1,177,1,SUCCESS,1,0,-2.54279531600051,0,0.705403458967683
1,178,1,SUCCESS,1,0,-2.96379651368262,0,0.776017960715674
1,179,1,SUCCESS,0,0,-1.94736168405579,0,0.779967148122467
1,180,1,SUCCESS,1,0,-2.31602026162811,0,0.765312058116147
1,181,1,SUCCESS,1,0,-4.6672561078983,0,0.73425201200614
1,182,1,SUCCESS,1,0,-2.61113864599374,0,0.714712442659632
1,183,1,SUCCESS,0,0,-1.34858202992276,0,0.763661510315383
1,184,1,SUCCESS,0,0,-0.270345610710303,0,0.777033920325456
1,185,1,SUCCESS,1,0,-2.08151467484586,0,0.805232690104792
1,186,1,SUCCESS,1,0,-4.77343763308686,0,0.651106659757413
1,187,1,SUCCESS,1,0,-4.03552948605004,0,0.653593813531818
1,188,1,SUCCESS,1,0,-4.08849585837359,0,0.713306546054283
1,189,1,SUCCESS,0,0,-0.107936243103971,0,0.953051563075274
1,190,1,SUCCESS,1,0,-2.61149449884126,0,0.813230083133796
1,191,1,SUCCESS,0,0,-1.41865495123643,0,0.850286553913646
1,192,1,SUCCESS,1,0,-2.71872687355177,0,0.95262275579337
1,193,1,SUCCESS,0,0,-0.352230568746369,0,0.818514560307654
1,194,1,SUCCESS,0,0,-0.552015179552272,0,0.810888478848798
1,195,1,SUCCESS,0,0,-0.915470523880416,0,0.824943394691367
1,196,1,SUCCESS,1,0,-5.02173568307756,0,0.652309998873592
1,197,1,SUCCESS,0,0,-1.66340856582258,0,0.741121716715583
1,198,1,SUCCESS,1,0,-3.13342765667519,0,0.781682002617175
1,199,1,SUCCESS,1,0,-3.63408838313076,0,0.724615290035102
1,200,1,SUCCESS,1,0,-2.90838758990063,0,0.746734771374236
1,201,1,SUCCESS,1,0,-1.97691575261302,0,0.811699612500752
1,202,1,SUCCESS,0,0,-1.04730250828022,0,0.90798988424525
1,203,1,SUCCESS,1,0,-3.30720007110864,0,0.680586329124795
1,204,1,SUCCESS,1,0,-2.69862784978943,0,0.766105493856716
1,205,1,SUCCESS,1,0,-2.51956971293654,0,0.8317119860617
1,206,1,SUCCESS,1,0,-2.47315036612654,0,0.837940640886559
1,207,1,SUCCESS,0,0,-1.37863637174283,0,0.840282789114653
1,208,1,SUCCESS,0,0,-0.877691650219526,0,0.821765699047926
1,209,1,SUCCESS,0,0,-1.50400169192617,0,0.955065010365613
1,210,1,SUCCESS,0,0,-1.89759417751735,0,0.697907959810314
1,211,1,SUCCESS,0,0,-1.11597817172543,0,0.804052565747206
1,212,1,SUCCESS,1,0,-2.64891168452662,0,0.798513216872363
1,213,1,SUCCESS,1,0,-3.42195537670343,0,0.726641466017632
1,214,1,SUCCESS,0,0,-1.73595757347321,0,0.783059522772664
1,215,1,SUCCESS,1,0,-4.3368987831754,0,0.70291095830203
1,216,1,SUCCESS,1,0,-2.68344243657072,0,0.762554725447523
1,217,1,SUCCESS,1,0,-2.18509029986471,0,0.869136696654445
1,218,1,SUCCESS,1,0,-4.41533013171819,0,0.706060925970784
1,219,1,SUCCESS,1,0,-2.78414048776708,0,0.747827691114292
1,220,1,SUCCESS,1,0,-2.28778274352132,0,0.817648745010381
1,221,1,SUCCESS,0,0,-1.48593866269959,0,0.803402216603019
1,222,1,SUCCESS,0,0,-0.319834604351737,0,0.840741079368729
1,223,1,SUCCESS,0,0,-0.532815938070785,0,0.773317444348003
1,224,1,SUCCESS,1,0,-2.32416959532339,0,0.762376267726226
1,225,1,SUCCESS,1,0,-3.81566526732816,0,0.67633083858788
1,226,1,SUCCESS,1,0,-3.31612811569786,0,0.727236658997446
1,227,1,SUCCESS,1,0,-1.98352885348816,0,0.776372755065031
1,228,1,SUCCESS,1,0,-2.2418898996333,0,0.732738969425924
1,229,1,SUCCESS,1,0,-2.42263310390851,0,0.63407965589621
1,230,1,SUCCESS,0,0,-1.37853048378914,0,0.801097259404788
1,231,1,SUCCESS,1,0,-3.40915959253585,0,0.855114845529393
1,232,1,SUCCESS,0,0,-1.27854569611952,0,0.83934063610322
1,233,1,SUCCESS,1,0,-2.43158228518819,0,0.903922071281201
1,234,1,SUCCESS,1,0,-2.61687876001599,0,0.78057767996732
1,235,1,SUCCESS,1,0,-2.81023215139596,0,0.716358535648293
1,236,1,SUCCESS,0,0,-1.94508538414064,0,0.803027939464346
1,237,1,SUCCESS,1,0,-4.94020399132558,0,0.720157745632938
1,238,1,SUCCESS,0,0,-1.5342275462233,0,0.762493655452506
1,239,1,SUCCESS,0,0,-0.47609736334719,0,0.831914369630931
1,240,1,SUCCESS,0,0,-0.815253032869637,0,0.69958256259068
1,241,1,SUCCESS,0,0,-1.4344064578605,0,0.718430840328192
1,242,1,SUCCESS,1,0,-4.673303422693,0,0.670730698561017
1,243,1,SUCCESS,1,0,-3.03660353369608,0,0.762115847422262
1,244,1,SUCCESS,0,0,-1.56832807447974,0,0.789661327330078
1,245,1,SUCCESS,0,0,-1.85273922947691,0,0.792554936753296
1,246,1,SUCCESS,0,0,-1.64838930123254,0,0.839269399432913
1,247,1,SUCCESS,1,0,-1.96450034994043,0,0.839054176199528
1,248,1,SUCCESS,0,0,-1.48177048537398,0,0.725606672148157
1,249,1,SUCCESS,1,0,-2.46347349404064,0,0.725200904150304
1,250,1,SUCCESS,1,0,-2.57414211144184,0,0.770795115211575
1,251,1,SUCCESS,0,0,-1.541739119947,0,0.70175332032629
1,252,1,SUCCESS,0,0,-1.92501382880622,0,0.807058966721734
1,253,1,SUCCESS,1,0,-3.842465081676,0,0.709700245923575
1,254,1,SUCCESS,0,0,-0.852018911561158,0,0.741244455214027
1,255,1,SUCCESS,0,0,-0.21009566034255,0,0.905879221859884
1,256,1,SUCCESS,0,0,-0.730868030753353,0,0.87928754887323
1,257,1,SUCCESS,0,0,-1.34609540679902,0,0.744970971897205
1,258,1,SUCCESS,1,0,-3.60828520673461,0,0.665020417437632
1,259,1,SUCCESS,1,0,-2.7091367383456,0,0.650486618044594
1,260,1,SUCCESS,1,0,-3.04891035252432,0,0.740932659704107
1,261,1,SUCCESS,0,0,-1.90247213715647,0,0.752439624374033
1,262,1,SUCCESS,1,0,-2.18985258170523,0,0.858352683950429
1,263,1,SUCCESS,1,0,-4.00196721343973,0,0.691217614726681
1,264,1,SUCCESS,0,0,-1.01340449718921,0,0.794871313026598
1,265,1,SUCCESS,0,0,-1.70949706779829,0,0.697216150918113
1,266,1,SUCCESS,1,0,-2.09058661977149,0,0.779620442508702
1,267,1,SUCCESS,0,0,-1.90359421788059,0,0.690421226915126
1,268,1,SUCCESS,1,0,-3.03922566037413,0,0.689565100416863
1,269,1,SUCCESS,1,0,-2.78735826641097,0,0.6545944784416
1,270,1,SUCCESS,1,0,-3.83802547194614,0,0.764344167102316
1,271,1,SUCCESS,1,0,-3.59583468133165,0,0.656903877105862
1,272,1,SUCCESS,1,0,-2.70924465599007,0,0.753893661855996
1,273,1,SUCCESS,0,0,-1.83457310678212,0,0.765847430498069
1,274,1,SUCCESS,0,0,-1.76978936422902,0,0.84239258586044
1,275,1,SUCCESS,1,0,-2.69155271589547,0,0.751518041692398
1,276,1,SUCCESS,1,0,-2.22522509400428,0,0.801508355190805
1,277,1,SUCCESS,1,0,-1.98486093127677,0,0.778561562737029
1,278,1,SUCCESS,0,0,-0.0692666391953004,0,0.760102618619972
1,279,1,SUCCESS,1,0,-2.75127824452566,0,0.711706407670625
1,280,1,SUCCESS,0,0,-1.01897813116367,0,0.781772513102718
1,281,1,SUCCESS,0,0,-0.502305232555717,0,0.771400466790791
1,282,1,SUCCESS,1,0,-2.77669966521958,0,0.770261370932083
1,283,1,SUCCESS,1,0,-2.09506173368835,0,0.763450280598496
1,284,1,SUCCESS,0,0,-1.35894548900949,0,0.788418049575322
1,285,1,SUCCESS,1,0,-4.02894275729907,0,0.798055856897324
1,286,1,SUCCESS,0,0,-1.48745950851227,0,0.737099157037571
