ScenarioID,SimIndex,LookIndex,Status,BdryStopCode,RDGUserErrorCode,ErrorCode,PostProb,dTrueDelta,dCtrlPostMean,dCtrlPostVar,dExpPostMean,dExpPostVar,dObsMeanCtrl,dObsMeanExp,dSimMeanCtrl,dSimMeanExp
1,19915,1,SUCCESS,3,0,0,0.22774,0.32693,-0.0813764460603072,0.0180499996741975,0.375722665853723,0.0180499996741975,-0.081376447529152,0.375722672635517,,
1,19916,1,SUCCESS,3,0,0,0.2388,0.5954,0.0371932953024806,0.0180499996741975,0.50149103219998,0.0180499996741975,0.0371932959738196,0.501491041251893,,
1,19917,1,SUCCESS,2,0,0,0.89526,0.70068,0.112871734540422,0.0180499996741975,0.951510867996478,0.0180499996741975,0.112871736577757,0.951510885171249,,
1,19918,1,SUCCESS,2,0,0,0.80396,0.65525,0.0796727938419802,0.0180499996741975,0.841647882555315,0.0180499996741975,0.0796727952800742,0.841647897747059,,
1,19919,1,SUCCESS,2,0,0,0.68592,0.68115,-0.133529020442163,0.0180499996741975,0.557884113280799,0.0180499996741975,-0.133529022852362,0.557884123350607,,
1,19920,1,SUCCESS,2,0,0,0.9381,0.93832,0.0942703293891572,0.0180499996741975,0.990813452695948,0.0180499996741975,0.0942703310907367,0.990813470580131,,
1,19921,1,SUCCESS,2,0,0,0.56078,0.81759,0.0890546254664024,0.0180499996741975,0.718750908125191,0.0180499996741975,0.0890546270738384,0.718750921098645,,
1,19922,1,SUCCESS,2,0,0,1,1.43198,-0.131422308261622,0.0180499996741975,1.55396189487147,0.0180499996741975,-0.131422310633795,1.55396192292048,,
1,19923,1,SUCCESS,2,0,0,0.9445,1.03692,-0.0926962706026872,0.0180499996741975,0.810364132621774,0.0180499996741975,-0.0926962722758549,0.810364147248847,,
1,19924,1,SUCCESS,2,0,0,0.5698,0.74953,0.0127041495181866,0.0180499996741975,0.64728233388756,0.0180499996741975,0.0127041497474965,0.647282345571006,,
1,19925,1,SUCCESS,2,0,0,0.99998,1.33722,-0.082537298358024,0.0180499996741975,1.42746538701873,0.0180499996741975,-0.0825372998478223,1.42746541278448,,
